method,alpha,N,trial,time_ms,comparisons
Insertion-based,64,131072,18,1.0643,52264
Insertion-based,64,131072,19,1.1253,52229
Insertion-based,64,131072,20,1.4952,52369
Insertion-based,64,262144,1,3.9835,110863
Insertion-based,64,262144,2,2.5151,110658
Insertion-based,64,262144,3,2.4251,110941
Insertion-based,64,262144,4,3.501,110744
Insertion-based,64,262144,5,2.7039,110844
Insertion-based,64,262144,6,4.2879,110848
Insertion-based,64,262144,7,3.3073,110556
Insertion-based,64,262144,8,3.0445,110714
Insertion-based,64,262144,9,3.0752,110794
Insertion-based,64,262144,10,3.5187,110853
Insertion-based,64,262144,11,2.6646,110628
Insertion-based,64,262144,12,3.5076,110592
Insertion-based,64,262144,13,3.6751,110631
Insertion-based,64,262144,14,3.4814,110721
Insertion-based,64,262144,15,3.032,110678
Insertion-based,64,262144,16,4.2319,110758
Insertion-based,64,262144,17,3.5642,110797
Insertion-based,64,262144,18,2.8824,110969
Insertion-based,64,262144,19,2.4561,110519
Insertion-based,64,262144,20,3.305,110522
Insertion-based,64,524288,1,7.9054,233733
Insertion-based,64,524288,2,8.5299,233890
Insertion-based,64,524288,3,8.199,233773
Insertion-based,64,524288,4,7.3374,233439
Insertion-based,64,524288,5,7.5775,234084
Insertion-based,64,524288,6,8.0151,233633
Insertion-based,64,524288,7,7.6792,233663
Insertion-based,64,524288,8,9.3338,233528
Insertion-based,64,524288,9,7.6342,233745
Insertion-based,64,524288,10,7.314,234315
Insertion-based,64,524288,11,7.5673,234018
Insertion-based,64,524288,12,8.5217,233988
Insertion-based,64,524288,13,8.3853,233827
Insertion-based,64,524288,14,8.3438,233619
Insertion-based,64,524288,15,8.2644,233685
Insertion-based,64,524288,16,7.1234,233718
Insertion-based,64,524288,17,9.2682,233712
Insertion-based,64,524288,18,7.3871,233344
Insertion-based,64,524288,19,7.4935,233671
Insertion-based,64,524288,20,7.5272,233733
Insertion-based,64,1048576,1,15.8679,491711
Insertion-based,64,1048576,2,15.6821,491904
Insertion-based,64,1048576,3,16.6227,492135
Insertion-based,64,1048576,4,15.8714,491974
Insertion-based,64,1048576,5,18.3806,492153
Insertion-based,64,1048576,6,16.8796,492186
Insertion-based,64,1048576,7,16.261,492327
Insertion-based,64,1048576,8,15.5589,491643
Insertion-based,64,1048576,9,15.7876,492177
Insertion-based,64,1048576,10,16.6989,491940
Insertion-based,64,1048576,11,15.7721,491907
Insertion-based,64,1048576,12,17.0175,491706
Insertion-based,64,1048576,13,15.7461,491869
Insertion-based,64,1048576,14,16.7704,491734
Insertion-based,64,1048576,15,19.6719,492345
Insertion-based,64,1048576,16,16.6194,492393
